date,time,flavor
2021-01-01,09:00:00,Espresso
2021-01-01,09:00:00,Latte
2021-01-01,09:01:00,Espresso
2021-01-01,09:01:00,Latte
2021-01-01,09:02:00,Latte
2021-01-01,09:02:00,Latte
2021-01-01,09:05:00,Latte
2021-01-01,09:06:00,Cappuccino
2021-01-01,09:06:00,Espresso
2021-01-01,09:06:00,Espresso
2021-01-01,09:07:00,Cappuccino
2021-01-01,09:09:00,Cappuccino
2021-01-01,09:10:00,Espresso
2021-01-01,09:12:00,Espresso
2021-01-01,09:13:00,Latte
2021-01-01,09:13:00,Cappuccino
2021-01-01,09:14:00,Latte
2021-01-01,09:15:00,Espresso
2021-01-01,09:16:00,Espresso
2021-01-01,09:17:00,Cappuccino
2021-01-01,09:18:00,Cappuccino
2021-01-01,09:19:00,Latte
2021-01-01,09:19:00,Latte
2021-01-01,09:20:00,Latte
2021-01-01,09:23:00,Latte
2021-01-01,09:23:00,Latte
2021-01-01,09:24:00,Cappuccino
2021-01-01,09:24:00,Cappuccino
2021-01-01,09:25:00,Cappuccino
2021-01-01,09:25:00,Latte
2021-01-01,09:27:00,Cappuccino
2021-01-01,09:27:00,Latte
2021-01-01,09:28:00,Espresso
2021-01-01,09:30:00,Cappuccino
2021-01-01,09:31:00,Latte
2021-01-01,09:31:00,Espresso
2021-01-01,09:32:00,Latte
2021-01-01,09:32:00,Espresso
2021-01-01,09:32:00,Espresso
2021-01-01,09:33:00,Espresso
2021-01-01,09:34:00,Latte
2021-01-01,09:36:00,Latte
2021-01-01,09:38:00,Espresso
2021-01-01,09:40:00,Espresso
2021-01-01,09:40:00,Latte
2021-01-01,09:40:00,Latte
2021-01-01,09:42:00,Cappuccino
2021-01-01,09:43:00,Cappuccino
2021-01-01,09:43:00,Cappuccino
2021-01-01,09:44:00,Cappuccino
2021-01-01,09:45:00,Latte
2021-01-01,09:46:00,Cappuccino
2021-01-01,09:48:00,Espresso
2021-01-01,09:49:00,Latte
2021-01-01,09:54:00,Espresso
2021-01-01,09:55:00,Espresso
2021-01-01,10:00:00,Espresso
2021-01-01,10:01:00,Latte
2021-01-01,10:03:00,Latte
2021-01-01,10:04:00,Espresso
2021-01-01,10:05:00,Cappuccino
2021-01-01,10:06:00,Cappuccino
2021-01-01,10:06:00,Espresso
2021-01-01,10:08:00,Espresso
2021-01-01,10:08:00,Latte
2021-01-01,10:10:00,Latte
2021-01-01,10:10:00,Espresso
2021-01-01,10:11:00,Espresso
2021-01-01,10:11:00,Cappuccino
2021-01-01,10:14:00,Latte
2021-01-01,10:14:00,Cappuccino
2021-01-01,10:14:00,Latte
2021-01-01,10:15:00,Latte
2021-01-01,10:17:00,Latte
