date,time,flavor
2021-01-01,09:02:00,Latte
2021-01-01,09:03:00,Espresso
2021-01-01,09:06:00,Cappuccino
2021-01-01,09:08:00,Latte
2021-01-01,09:09:00,Latte
2021-01-01,09:14:00,Latte
2021-01-01,09:14:00,Espresso
2021-01-01,09:14:00,Latte
2021-01-01,09:17:00,Latte
2021-01-01,09:18:00,Cappuccino
2021-01-01,09:19:00,Latte
2021-01-01,09:19:00,Cappuccino
2021-01-01,09:20:00,Latte
2021-01-01,09:23:00,Latte
2021-01-01,09:25:00,Espresso
2021-01-01,09:28:00,Latte
2021-01-01,09:30:00,Latte
2021-01-01,09:30:00,Cappuccino
2021-01-01,09:32:00,Latte
2021-01-01,09:35:00,Latte
2021-01-01,09:36:00,Latte
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:36:00,Latte
2021-01-01,09:37:00,Espresso
2021-01-01,09:38:00,Espresso
2021-01-01,09:39:00,Latte
2021-01-01,09:39:00,Espresso
2021-01-01,09:40:00,Latte
2021-01-01,09:41:00,Latte
2021-01-01,09:42:00,Latte
2021-01-01,09:49:00,Latte
2021-01-01,09:50:00,Latte
2021-01-01,09:52:00,Cappuccino
2021-01-01,09:52:00,Latte
2021-01-01,09:55:00,Cappuccino
2021-01-01,09:56:00,Espresso
2021-01-01,09:57:00,Espresso
2021-01-01,10:03:00,Espresso
2021-01-01,10:06:00,Espresso
2021-01-01,10:11:00,Cappuccino
2021-01-01,10:16:00,Latte
2021-01-01,10:18:00,Cappuccino
2021-01-01,10:19:00,Latte
2021-01-01,10:19:00,Cappuccino
2021-01-01,10:21:00,Latte
2021-01-01,10:22:00,Cappuccino
2021-01-01,10:22:00,Cappuccino
2021-01-01,10:23:00,Espresso
2021-01-01,10:24:00,Cappuccino
2021-01-01,10:25:00,Espresso
2021-01-01,10:26:00,Cappuccino
2021-01-01,10:26:00,Latte
2021-01-01,10:26:00,Cappuccino
2021-01-01,10:27:00,Latte
2021-01-01,10:32:00,Latte
2021-01-01,10:32:00,Latte
2021-01-01,10:33:00,Latte
2021-01-01,10:34:00,Espresso
2021-01-01,10:34:00,Latte
2021-01-01,10:34:00,Cappuccino
2021-01-01,10:38:00,Latte
2021-01-01,10:39:00,Latte
2021-01-01,10:39:00,Espresso
2021-01-01,10:40:00,Latte
2021-01-01,10:43:00,Cappuccino
2021-01-01,10:44:00,Espresso
2021-01-01,10:46:00,Cappuccino
2021-01-01,10:46:00,Latte
2021-01-01,10:47:00,Cappuccino
2021-01-01,10:51:00,Cappuccino
