date,time,flavor
2021-01-01,09:00:00,Cappuccino
2021-01-01,09:00:00,Latte
2021-01-01,09:02:00,Cappuccino
2021-01-01,09:02:00,Cappuccino
2021-01-01,09:03:00,Latte
2021-01-01,09:03:00,Cappuccino
2021-01-01,09:03:00,Espresso
2021-01-01,09:04:00,Latte
2021-01-01,09:04:00,Latte
2021-01-01,09:04:00,Cappuccino
2021-01-01,09:04:00,Cappuccino
2021-01-01,09:12:00,Cappuccino
2021-01-01,09:12:00,Cappuccino
2021-01-01,09:14:00,Latte
2021-01-01,09:18:00,Latte
2021-01-01,09:20:00,Latte
2021-01-01,09:22:00,Latte
2021-01-01,09:22:00,Latte
2021-01-01,09:22:00,Latte
2021-01-01,09:23:00,Latte
2021-01-01,09:24:00,Espresso
2021-01-01,09:24:00,Cappuccino
2021-01-01,09:24:00,Cappuccino
2021-01-01,09:25:00,Cappuccino
2021-01-01,09:26:00,Latte
2021-01-01,09:28:00,Cappuccino
2021-01-01,09:28:00,Cappuccino
2021-01-01,09:29:00,Cappuccino
2021-01-01,09:34:00,Cappuccino
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:37:00,Latte
2021-01-01,09:39:00,Cappuccino
2021-01-01,09:39:00,Espresso
2021-01-01,09:39:00,Cappuccino
2021-01-01,09:40:00,Espresso
2021-01-01,09:41:00,Cappuccino
2021-01-01,09:41:00,Espresso
2021-01-01,09:41:00,Latte
2021-01-01,09:46:00,Espresso
2021-01-01,09:46:00,Latte
2021-01-01,09:48:00,Cappuccino
2021-01-01,09:49:00,Cappuccino
2021-01-01,09:52:00,Espresso
2021-01-01,09:53:00,Latte
2021-01-01,09:53:00,Espresso
2021-01-01,09:55:00,Cappuccino
2021-01-01,09:57:00,Latte
2021-01-01,09:58:00,Cappuccino
2021-01-01,10:01:00,Latte
2021-01-01,10:01:00,Espresso
2021-01-01,10:01:00,Cappuccino
2021-01-01,10:02:00,Cappuccino
2021-01-01,10:02:00,Espresso
2021-01-01,10:03:00,Cappuccino
2021-01-01,10:03:00,Latte
2021-01-01,10:03:00,Latte
2021-01-01,10:03:00,Latte
2021-01-01,10:04:00,Cappuccino
2021-01-01,10:05:00,Latte
2021-01-01,10:05:00,Espresso
2021-01-01,10:07:00,Espresso
2021-01-01,10:08:00,Cappuccino
2021-01-01,10:10:00,Cappuccino
2021-01-01,10:10:00,Cappuccino
2021-01-01,10:11:00,Latte
2021-01-01,10:13:00,Latte
2021-01-01,10:13:00,Cappuccino
2021-01-01,10:14:00,Cappuccino
2021-01-01,10:15:00,Cappuccino
