date,time,flavor
2021-01-01,09:03:00,Cappuccino
2021-01-01,09:06:00,Espresso
2021-01-01,09:06:00,Latte
2021-01-01,09:06:00,Espresso
2021-01-01,09:08:00,Latte
2021-01-01,09:09:00,Espresso
2021-01-01,09:09:00,Latte
2021-01-01,09:12:00,Latte
2021-01-01,09:13:00,Cappuccino
2021-01-01,09:15:00,Espresso
2021-01-01,09:17:00,Espresso
2021-01-01,09:19:00,Cappuccino
2021-01-01,09:19:00,Latte
2021-01-01,09:23:00,Espresso
2021-01-01,09:23:00,Cappuccino
2021-01-01,09:26:00,Cappuccino
2021-01-01,09:27:00,Cappuccino
2021-01-01,09:27:00,Cappuccino
2021-01-01,09:28:00,Latte
2021-01-01,09:28:00,Espresso
2021-01-01,09:29:00,Cappuccino
2021-01-01,09:31:00,Cappuccino
2021-01-01,09:33:00,Espresso
2021-01-01,09:34:00,Cappuccino
2021-01-01,09:38:00,Espresso
2021-01-01,09:38:00,Latte
2021-01-01,09:39:00,Espresso
2021-01-01,09:41:00,Cappuccino
2021-01-01,09:41:00,Cappuccino
2021-01-01,09:45:00,Espresso
2021-01-01,09:49:00,Cappuccino
2021-01-01,09:50:00,Espresso
2021-01-01,09:52:00,Espresso
2021-01-01,09:52:00,Cappuccino
2021-01-01,09:53:00,Latte
2021-01-01,09:56:00,Espresso
2021-01-01,09:56:00,Cappuccino
2021-01-01,09:56:00,Cappuccino
2021-01-01,09:57:00,Cappuccino
2021-01-01,09:59:00,Espresso
2021-01-01,10:02:00,Espresso
2021-01-01,10:04:00,Cappuccino
2021-01-01,10:04:00,Latte
2021-01-01,10:05:00,Espresso
2021-01-01,10:06:00,Espresso
2021-01-01,10:10:00,Espresso
2021-01-01,10:11:00,Espresso
2021-01-01,10:12:00,Espresso
2021-01-01,10:12:00,Cappuccino
2021-01-01,10:12:00,Cappuccino
2021-01-01,10:13:00,Espresso
2021-01-01,10:16:00,Espresso
2021-01-01,10:19:00,Espresso
2021-01-01,10:24:00,Cappuccino
2021-01-01,10:24:00,Espresso
2021-01-01,10:27:00,Latte
2021-01-01,10:28:00,Espresso
2021-01-01,10:30:00,Espresso
2021-01-01,10:30:00,Espresso
2021-01-01,10:30:00,Latte
2021-01-01,10:31:00,Latte
2021-01-01,10:32:00,Cappuccino
2021-01-01,10:34:00,Latte
2021-01-01,10:36:00,Latte
2021-01-01,10:36:00,Cappuccino
2021-01-01,10:43:00,Latte
2021-01-01,10:43:00,Cappuccino
2021-01-01,10:44:00,Cappuccino
2021-01-01,10:49:00,Espresso
2021-01-01,10:50:00,Cappuccino
2021-01-01,10:52:00,Espresso
2021-01-01,10:55:00,Espresso
2021-01-01,10:56:00,Latte
2021-01-01,10:57:00,Cappuccino
2021-01-01,10:57:00,Espresso
2021-01-01,11:00:00,Latte
2021-01-01,11:00:00,Cappuccino
2021-01-01,11:00:00,Cappuccino
2021-01-01,11:02:00,Espresso
2021-01-01,11:06:00,Latte
2021-01-01,11:06:00,Cappuccino
2021-01-01,11:08:00,Espresso
2021-01-01,11:08:00,Cappuccino
2021-01-01,11:13:00,Latte
2021-01-01,11:16:00,Espresso
2021-01-01,11:18:00,Latte
2021-01-01,11:19:00,Espresso
2021-01-01,11:19:00,Latte
2021-01-01,11:19:00,Cappuccino
2021-01-01,11:20:00,Espresso
2021-01-01,11:23:00,Espresso
2021-01-01,11:24:00,Espresso
2021-01-01,11:25:00,Cappuccino
2021-01-01,11:29:00,Cappuccino
2021-01-01,11:30:00,Latte
2021-01-01,11:31:00,Latte
2021-01-01,11:32:00,Cappuccino
2021-01-01,11:40:00,Espresso
2021-01-01,11:40:00,Cappuccino
2021-01-01,11:40:00,Latte
2021-01-01,11:42:00,Espresso
2021-01-01,11:43:00,Latte
2021-01-01,11:44:00,Espresso
2021-01-01,11:48:00,Latte
2021-01-01,11:50:00,Espresso
2021-01-01,11:50:00,Cappuccino
2021-01-01,11:51:00,Latte
2021-01-01,11:51:00,Latte
2021-01-01,11:52:00,Cappuccino
2021-01-01,11:54:00,Cappuccino
2021-01-01,11:55:00,Latte
2021-01-01,11:57:00,Cappuccino
2021-01-01,11:58:00,Latte
2021-01-01,11:59:00,Espresso
2021-01-01,11:59:00,Cappuccino
2021-01-01,12:00:00,Latte
2021-01-01,12:00:00,Latte
2021-01-01,12:01:00,Cappuccino
2021-01-01,12:02:00,Latte
2021-01-01,12:04:00,Cappuccino
2021-01-01,12:06:00,Espresso
2021-01-01,12:07:00,Cappuccino
2021-01-01,12:08:00,Espresso
2021-01-01,12:08:00,Latte
2021-01-01,12:09:00,Latte
2021-01-01,12:14:00,Cappuccino
2021-01-01,12:15:00,Cappuccino
2021-01-01,12:16:00,Cappuccino
2021-01-01,12:21:00,Cappuccino
2021-01-01,12:22:00,Latte
2021-01-01,12:23:00,Cappuccino
2021-01-01,12:26:00,Espresso
2021-01-01,12:27:00,Latte
2021-01-01,12:29:00,Espresso
2021-01-01,12:32:00,Latte
2021-01-01,12:32:00,Latte
2021-01-01,12:35:00,Espresso
2021-01-01,12:36:00,Cappuccino
2021-01-01,12:36:00,Cappuccino
2021-01-01,12:36:00,Cappuccino
2021-01-01,12:37:00,Cappuccino
2021-01-01,12:40:00,Cappuccino
2021-01-01,12:41:00,Latte
2021-01-01,12:44:00,Latte
2021-01-01,12:44:00,Cappuccino
2021-01-01,12:46:00,Espresso
2021-01-01,12:47:00,Latte
2021-01-01,12:48:00,Latte
2021-01-01,12:49:00,Cappuccino
2021-01-01,12:51:00,Espresso
2021-01-01,12:52:00,Espresso
2021-01-01,12:52:00,Latte
2021-01-01,12:53:00,Espresso
2021-01-01,12:54:00,Cappuccino
2021-01-01,12:57:00,Espresso
2021-01-01,12:57:00,Espresso
2021-01-01,12:58:00,Cappuccino
2021-01-01,13:00:00,Espresso
2021-01-01,13:01:00,Espresso
2021-01-01,13:02:00,Latte
2021-01-01,13:06:00,Espresso
2021-01-01,13:12:00,Latte
2021-01-01,13:14:00,Cappuccino
2021-01-01,13:15:00,Latte
2021-01-01,13:18:00,Espresso
2021-01-01,13:18:00,Latte
2021-01-01,13:19:00,Espresso
2021-01-01,13:21:00,Espresso
2021-01-01,13:22:00,Cappuccino
2021-01-01,13:23:00,Espresso
2021-01-01,13:24:00,Cappuccino
2021-01-01,13:25:00,Cappuccino
2021-01-01,13:27:00,Latte
2021-01-01,13:29:00,Espresso
2021-01-01,13:29:00,Espresso
2021-01-01,13:33:00,Latte
2021-01-01,13:34:00,Latte
2021-01-01,13:35:00,Cappuccino
2021-01-01,13:35:00,Cappuccino
2021-01-01,13:35:00,Espresso
2021-01-01,13:36:00,Espresso
2021-01-01,13:36:00,Espresso
2021-01-01,13:37:00,Cappuccino
2021-01-01,13:38:00,Cappuccino
2021-01-01,13:38:00,Espresso
2021-01-01,13:43:00,Espresso
2021-01-01,13:43:00,Cappuccino
2021-01-01,13:44:00,Cappuccino
2021-01-01,13:47:00,Cappuccino
2021-01-01,13:51:00,Cappuccino
2021-01-01,13:51:00,Espresso
2021-01-01,13:58:00,Latte
2021-01-01,13:58:00,Espresso
2021-01-01,14:00:00,Latte
2021-01-01,14:00:00,Espresso
2021-01-01,14:03:00,Cappuccino
2021-01-01,14:06:00,Cappuccino
2021-01-01,14:07:00,Cappuccino
2021-01-01,14:07:00,Espresso
2021-01-01,14:11:00,Latte
2021-01-01,14:13:00,Cappuccino
2021-01-01,14:16:00,Cappuccino
2021-01-01,14:16:00,Espresso
2021-01-01,14:16:00,Latte
2021-01-01,14:21:00,Cappuccino
2021-01-01,14:22:00,Cappuccino
2021-01-01,14:24:00,Latte
2021-01-01,14:24:00,Espresso
2021-01-01,14:25:00,Espresso
2021-01-01,14:26:00,Latte
2021-01-01,14:27:00,Cappuccino
2021-01-01,14:29:00,Latte
2021-01-01,14:29:00,Espresso
2021-01-01,14:29:00,Espresso
2021-01-01,14:32:00,Cappuccino
2021-01-01,14:32:00,Cappuccino
2021-01-01,14:33:00,Espresso
2021-01-01,14:34:00,Cappuccino
2021-01-01,14:35:00,Espresso
2021-01-01,14:35:00,Cappuccino
2021-01-01,14:35:00,Cappuccino
2021-01-01,14:39:00,Latte
2021-01-01,14:40:00,Espresso
2021-01-01,14:41:00,Espresso
2021-01-01,14:43:00,Espresso
2021-01-01,14:43:00,Cappuccino
2021-01-01,14:45:00,Cappuccino
2021-01-01,14:45:00,Espresso
2021-01-01,14:47:00,Cappuccino
2021-01-01,14:48:00,Latte
2021-01-01,14:48:00,Espresso
2021-01-01,14:48:00,Cappuccino
2021-01-01,14:49:00,Espresso
2021-01-01,14:49:00,Cappuccino
2021-01-01,14:51:00,Latte
2021-01-01,14:51:00,Latte
2021-01-01,14:53:00,Latte
2021-01-01,14:53:00,Cappuccino
2021-01-01,14:54:00,Latte
2021-01-01,14:54:00,Cappuccino
2021-01-01,14:55:00,Espresso
2021-01-01,14:56:00,Espresso
2021-01-01,14:56:00,Espresso
2021-01-01,14:59:00,Espresso
2021-01-01,15:00:00,Cappuccino
2021-01-01,15:00:00,Cappuccino
2021-01-01,15:01:00,Espresso
2021-01-01,15:06:00,Cappuccino
2021-01-01,15:07:00,Espresso
2021-01-01,15:08:00,Latte
2021-01-01,15:08:00,Espresso
2021-01-01,15:09:00,Espresso
2021-01-01,15:13:00,Cappuccino
2021-01-01,15:17:00,Espresso
2021-01-01,15:21:00,Cappuccino
2021-01-01,15:21:00,Latte
2021-01-01,15:22:00,Latte
2021-01-01,15:24:00,Latte
2021-01-01,15:27:00,Latte
2021-01-01,15:27:00,Latte
2021-01-01,15:31:00,Cappuccino
2021-01-01,15:36:00,Latte
2021-01-01,15:36:00,Latte
2021-01-01,15:36:00,Espresso
2021-01-01,15:37:00,Espresso
2021-01-01,15:40:00,Espresso
2021-01-01,15:41:00,Cappuccino
2021-01-01,15:43:00,Espresso
2021-01-01,15:44:00,Espresso
