date,time,total_count,today_count,tank_beans,tank_water,tank_milk,barometer,thermometer
2021-01-01,09:00:00,100,0,500,1600,950,15.0,95.0
2021-01-01,09:01:00,101,1,484,1350,950,14.9,94.9
2021-01-01,09:02:00,102,2,464,1000,875,15.0,100.0
2021-01-01,09:03:00,102,2,464,1500,875,15.0,100.0
2021-01-01,09:04:00,102,2,464,1500,875,15.0,100.0
2021-01-01,09:05:00,103,3,444,1150,800,14.9,99.9
2021-01-01,09:06:00,104,4,432,950,700,15.0,99.80000000000001
2021-01-01,09:07:00,105,5,420,1450,600,14.9,100.0
2021-01-01,09:08:00,105,5,420,1450,600,15.0,100.0
2021-01-01,09:09:00,106,6,408,1250,500,14.9,99.9
2021-01-01,09:10:00,107,7,392,1000,500,15.0,99.80000000000001
2021-01-01,09:11:00,107,7,392,1500,500,15.0,100.0
2021-01-01,09:12:00,108,8,376,1250,500,14.9,99.9
2021-01-01,09:13:00,109,9,356,900,425,15.0,99.80000000000001
2021-01-01,09:14:00,110,10,336,1400,350,14.9,100.0
2021-01-01,09:15:00,111,11,320,1150,350,15.0,99.9
2021-01-01,09:16:00,112,12,304,900,350,14.9,99.80000000000001
2021-01-01,09:17:00,113,13,292,1400,250,15.0,100.0
2021-01-01,09:18:00,114,14,280,1200,150,14.9,99.9
2021-01-01,09:19:00,115,15,260,850,1100,15.0,99.80000000000001
2021-01-01,09:20:00,116,16,240,1350,1025,14.9,100.0
2021-01-01,09:21:00,116,16,240,1350,1025,15.0,100.0
2021-01-01,09:22:00,116,16,240,1350,1025,15.0,100.0
2021-01-01,09:23:00,117,17,220,1000,950,14.9,99.9
2021-01-01,09:24:00,118,18,208,1500,850,15.0,100.0
2021-01-01,09:25:00,119,19,196,1300,750,14.9,99.9
2021-01-01,09:26:00,119,19,650,1300,750,15.0,99.9
2021-01-01,09:27:00,120,20,638,1100,650,14.9,99.80000000000001
2021-01-01,09:28:00,121,21,622,850,650,15.0,99.70000000000002
2021-01-01,09:29:00,121,21,622,1350,650,15.0,100.0
2021-01-01,09:30:00,122,22,610,1150,550,14.9,99.9
2021-01-01,09:31:00,123,23,590,800,475,15.0,99.80000000000001
2021-01-01,09:32:00,124,24,570,1300,400,14.9,100.0
2021-01-01,09:33:00,125,25,554,1050,400,15.0,99.9
2021-01-01,09:34:00,126,26,534,1550,325,14.9,100.0
2021-01-01,09:35:00,126,26,534,1550,325,15.0,100.0
2021-01-01,09:36:00,127,27,514,1200,250,14.9,99.9
2021-01-01,09:37:00,127,27,514,1200,250,15.0,99.9
2021-01-01,09:38:00,128,28,498,950,250,14.9,99.80000000000001
2021-01-01,09:39:00,128,28,498,1450,250,15.0,100.0
2021-01-01,09:40:00,129,29,482,1200,250,14.9,99.9
2021-01-01,09:41:00,129,29,482,1200,250,15.0,99.9
2021-01-01,09:42:00,130,30,470,1000,150,14.9,99.80000000000001
2021-01-01,09:43:00,131,31,458,1500,1100,15.0,100.0
2021-01-01,09:44:00,132,32,446,1300,1000,14.9,99.9
2021-01-01,09:45:00,133,33,426,950,925,15.0,99.80000000000001
2021-01-01,09:46:00,134,34,414,1450,825,14.9,100.0
2021-01-01,09:47:00,134,34,414,1450,825,15.0,100.0
2021-01-01,09:48:00,135,35,398,1200,825,14.9,99.9
2021-01-01,09:49:00,136,36,378,850,750,15.0,99.80000000000001
2021-01-01,09:50:00,136,36,378,1350,750,15.0,100.0
2021-01-01,09:51:00,136,36,378,1350,750,15.0,100.0
2021-01-01,09:52:00,136,36,378,1350,750,15.0,100.0
2021-01-01,09:53:00,136,36,378,1350,750,15.0,100.0
2021-01-01,09:54:00,137,37,362,1100,750,14.9,99.9
2021-01-01,09:55:00,138,38,346,850,750,15.0,99.80000000000001
2021-01-01,09:56:00,138,38,346,1350,750,15.0,100.0
2021-01-01,09:57:00,138,38,346,1350,750,15.0,100.0
2021-01-01,09:58:00,138,38,346,1350,750,15.0,100.0
2021-01-01,09:59:00,138,38,346,1350,750,15.0,100.0
2021-01-01,10:00:00,139,39,330,1100,750,14.9,99.9
2021-01-01,10:01:00,140,40,310,750,675,15.0,99.80000000000001
2021-01-01,10:02:00,140,40,310,1250,675,15.0,100.0
2021-01-01,10:03:00,141,41,290,900,600,14.9,99.9
2021-01-01,10:04:00,142,42,274,1400,600,15.0,100.0
2021-01-01,10:05:00,143,43,262,1200,500,14.9,99.9
2021-01-01,10:06:00,144,44,250,1000,400,15.0,99.80000000000001
2021-01-01,10:07:00,144,44,250,1500,400,15.0,100.0
2021-01-01,10:08:00,145,45,234,1250,400,14.9,99.9
2021-01-01,10:09:00,145,45,234,1250,400,15.0,99.9
2021-01-01,10:10:00,146,46,214,900,325,14.9,99.80000000000001
2021-01-01,10:11:00,147,47,198,1400,325,15.0,100.0
2021-01-01,10:12:00,147,47,652,1400,325,15.0,100.0
2021-01-01,10:13:00,147,47,652,1400,325,15.0,100.0
2021-01-01,10:14:00,148,48,632,1050,250,14.9,99.9
2021-01-01,10:15:00,149,49,612,1550,175,15.0,100.0
2021-01-01,10:16:00,149,49,612,1550,1125,15.0,100.0
2021-01-01,10:17:00,150,50,592,1200,1050,14.9,99.9
2021-01-01,10:18:00,150,50,592,1200,1050,15.0,99.9
2021-01-01,10:19:00,151,51,572,850,975,14.9,99.80000000000001
2021-01-01,10:20:00,152,52,556,1350,975,15.0,100.0
2021-01-01,10:21:00,152,52,556,1350,975,15.0,100.0
2021-01-01,10:22:00,153,53,536,1000,900,14.9,99.9
2021-01-01,10:23:00,153,53,536,1500,900,15.0,100.0
2021-01-01,10:24:00,153,53,536,1500,900,15.0,100.0
2021-01-01,10:25:00,153,53,536,1500,900,15.0,100.0
2021-01-01,10:26:00,154,54,516,1150,825,14.9,99.9
2021-01-01,10:27:00,155,55,504,950,725,15.0,99.80000000000001
2021-01-01,10:28:00,155,55,504,1450,725,15.0,100.0
2021-01-01,10:29:00,156,56,488,1200,725,14.9,99.9
2021-01-01,10:30:00,156,56,488,1200,725,15.0,99.9
2021-01-01,10:31:00,156,56,488,1200,725,15.0,99.9
2021-01-01,10:32:00,157,57,468,850,650,14.9,99.80000000000001
2021-01-01,10:33:00,157,57,468,1350,650,15.0,100.0
2021-01-01,10:34:00,158,58,452,1100,650,14.9,99.9
2021-01-01,10:35:00,158,58,452,1100,650,15.0,99.9
2021-01-01,10:36:00,159,59,432,750,575,14.9,99.80000000000001
2021-01-01,10:37:00,160,60,416,1250,575,15.0,100.0
2021-01-01,10:38:00,161,61,396,900,500,14.9,99.9
2021-01-01,10:39:00,162,62,380,1400,500,15.0,100.0
2021-01-01,10:40:00,162,62,380,1400,500,15.0,100.0
2021-01-01,10:41:00,162,62,380,1400,500,15.0,100.0
2021-01-01,10:42:00,162,62,380,1400,500,15.0,100.0
2021-01-01,10:43:00,163,63,368,1200,400,14.9,99.9
2021-01-01,10:44:00,164,64,356,1000,300,15.0,99.80000000000001
2021-01-01,10:45:00,165,65,340,1500,300,14.9,100.0
2021-01-01,10:46:00,166,66,320,1150,225,15.0,99.9
2021-01-01,10:47:00,167,67,300,800,1175,14.9,99.80000000000001
2021-01-01,10:48:00,168,68,280,1300,1100,15.0,100.0
2021-01-01,10:49:00,168,68,280,1300,1100,15.0,100.0
2021-01-01,10:50:00,169,69,268,1100,1000,14.9,99.9
2021-01-01,10:51:00,169,69,268,1100,1000,15.0,99.9
